weak	1	abandoned	adj	n	-1
weak	1	abandonment	noun	n	-1
weak	1	abandon	verb	y	-1
strong	1	abase	verb	y	-1
strong	1	abasement	anypos	y	-1
strong	1	abash	verb	y	-1
weak	1	abate	verb	y	-1
weak	1	abdicate	verb	y	-1
strong	1	aberration	adj	n	-1
strong	1	aberration	noun	n	-1
strong	1	abhor	anypos	y	-1
strong	1	abhor	verb	y	-1
strong	1	abhorred	adj	n	-1
strong	1	abhorrence	noun	n	-1
strong	1	abhorrent	adj	n	-1
strong	1	abhorrently	anypos	n	-1
strong	1	abhors	adj	n	-1
strong	1	abhors	noun	n	-1
strong	1	abidance	adj	n	1
strong	1	abidance	noun	n	1
strong	1	abide	anypos	y	1
strong	1	abject	adj	n	-1
strong	1	abjectly	adverb	n	-1
weak	1	abjure	verb	y	-1
weak	1	abilities	noun	n	1
weak	1	ability	noun	n	1
weak	1	able	adj	n	1
weak	1	abnormal	adj	n	-1
weak	1	abolish	verb	y	-1
strong	1	abominable	adj	n	-1
strong	1	abominably	anypos	n	-1
strong	1	abominate	verb	y	-1
strong	1	abomination	noun	n	-1
weak	1	above	anypos	n	1
weak	1	above-average	adj	n	1
weak	1	abound	verb	y	1
weak	1	abrade	verb	y	-1
strong	1	abrasive	adj	n	-1
weak	1	abrupt	adj	n	-1
strong	1	abscond	verb	y	-1
weak	1	absence	noun	n	-1
weak	1	absentee	anypos	y	-1
strong	1	absent-minded	adj	n	-1
strong	1	absolve	verb	y	1
strong	1	absolute	adj	n	0
strong	1	absolutely	adj	n	0
weak	1	absorbed	verb	n	0
strong	1	absurd	adj	n	-1
strong	1	absurdity	noun	n	-1
strong	1	absurdly	anypos	n	-1
strong	1	absurdness	noun	n	-1
weak	1	abundant	adj	n	1
weak	1	abundance	noun	n	1
weak	1	abuse	adj	n	-1
weak	1	abuse	noun	n	-1
strong	1	abuse	verb	y	-1
weak	1	abuses	adj	n	-1
weak	1	abuses	noun	n	-1
strong	1	abusive	adj	n	-1
strong	1	abysmal	adj	n	-1
strong	1	abysmally	anypos	n	-1
strong	1	abyss	noun	n	-1
